video,frame,phase_id,phase_name
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,40,1,setup
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,41,1,setup
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,42,1,setup
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,43,1,setup
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,44,1,setup
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,45,1,setup
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,46,1,setup
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,47,1,setup
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,48,1,setup
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,49,1,setup
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,50,1,setup
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,51,1,setup
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,52,1,setup
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,53,1,setup
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,54,1,setup
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,55,1,setup
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,56,1,setup
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,57,1,setup
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,58,1,setup
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,59,2,first_pull
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,60,2,first_pull
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,61,2,first_pull
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,62,2,first_pull
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,63,2,first_pull
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,64,2,first_pull
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,65,2,first_pull
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,66,2,first_pull
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,67,2,first_pull
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,68,2,first_pull
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,69,2,first_pull
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,70,2,first_pull
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,71,2,first_pull
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,72,3,transition
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,73,3,transition
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,74,3,transition
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,75,3,transition
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,76,4,second_pull
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,77,4,second_pull
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,78,4,second_pull
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,79,4,second_pull
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,80,4,second_pull
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,81,5,turnover
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,82,5,turnover
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,83,5,turnover
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,84,5,turnover
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,85,5,turnover
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,86,5,turnover
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,87,5,turnover
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,88,5,turnover
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,89,5,turnover
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,90,5,turnover
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,91,5,turnover
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,92,0,unlabeled
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,93,0,unlabeled
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,94,0,unlabeled
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,95,0,unlabeled
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,96,0,unlabeled
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,97,0,unlabeled
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,98,0,unlabeled
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,99,0,unlabeled
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,100,0,unlabeled
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,101,0,unlabeled
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,102,0,unlabeled
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,103,0,unlabeled
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,104,0,unlabeled
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,105,0,unlabeled
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,106,0,unlabeled
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,107,0,unlabeled
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,108,0,unlabeled
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,109,0,unlabeled
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,110,0,unlabeled
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,111,0,unlabeled
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,112,0,unlabeled
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,113,0,unlabeled
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,114,0,unlabeled
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,115,0,unlabeled
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,116,0,unlabeled
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,117,0,unlabeled
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,118,0,unlabeled
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,119,0,unlabeled
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,120,0,unlabeled
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,121,0,unlabeled
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,122,0,unlabeled
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,123,0,unlabeled
snatch_-96kg_abokhala_karim_i2_fail_000004.mp4,124,0,unlabeled
